strata,year,cpue,cv
Eastern AI,1996,11340.2136442349,0.22711866021927468
Eastern AI,1998,19225.94803426045,0.20400444966488307
Eastern AI,2000,23633.510468765788,0.19582782012100017
Eastern AI,2002,22564.32237528374,0.17404309775999036
Eastern AI,2004,19216.63058544526,0.23862475848104048
Eastern AI,2006,14340.18423358178,0.2703792931902863
Eastern AI,2008,20004.9239769908,0.24538794814984768
Eastern AI,2010,25953.4825832668,0.2731824274194618
Eastern AI,2012,28483.3292647521,0.24635098904866481
Eastern AI,2014,28407.1353406198,0.19081125421995856
Eastern AI,2016,33775.9903722303,0.24251712384368898
Eastern AI,2018,24607.6425305276,0.2086307016003425
Eastern AI,2020,18423.13785720483,0.25813102159910645
Eastern AI,2022,21824.53254199755,0.27515442626399444
EBS Slope,1997,12109.844523792997,0.22825400433038914
EBS Slope,1999,4191.710617306522,0.12378119405081707
EBS Slope,2001,9444.291115883732,0.23623054252428818
EBS Slope,2003,11049.917369805013,0.27020136351545726
EBS Slope,2005,13503.369511934528,0.15116577383127583
EBS Slope,2007,13135.45311363921,0.28480033755807727
EBS Slope,2009,16118.214888414632,0.22297500204781814
EBS Slope,2011,28629.827370409632,0.16889164362335382
EBS Slope,2013,24759.910038816808,0.08751166701510416
EBS Slope,2015,31781.52913532139,0.13698349374543095
EBS Slope,2017,28294.836617729663,0.14042450692244923
EBS Slope,2019,26073.258671691336,0.15901178621785
EBS Slope,2021,25496.8908582551,0.1829964766629055
