Gear,Target fishery,517,519,509,513,514,518,521,523,524,508,530,516,Total (t),% of total
Bottom trawl,Flatfish,808.5,127.2,0.1,6.8,0.1,10.7,71,33.9,7.9,0,0,0,1066.2,29.8
Bottom trawl,Other,549,144.9,0,0,0,6.3,41.6,5.8,1.8,0,0,0,749.3,21
Longline,Flatfish,34.3,1.8,0,0,0,12.4,351.7,113.4,5.2,0,0,0,518.7,14.5
Bottom trawl,Rockfish,214.8,161.2,0,0,0,1.1,61.2,11.4,0,0,0,0,449.7,12.6
Pelagic trawl,Pollock,124.1,60.4,0.7,0.3,0,0,1.4,0.1,0,0,0,0,187.1,5.2
Longline,Halibut,13.9,25.3,0,1.9,1.6,76,24.3,11.4,10.6,0,0,0,164.9,4.6
Longline,Sablefish,37.2,28.4,0,0,0.2,77,4.5,4.4,0.1,0.4,0.2,0,152.4,4.3
Bottom trawl,Pacific cod,50.3,28.3,0.1,0,0,0,1.2,0,0,0,0,0,79.9,2.2
Longline,Pacific cod,6,1.9,0,0,0,0.8,50.4,4.8,0.3,0,0,0,64.1,1.8
Bottom trawl,Sablefish,11.7,34,0,0,0,0.1,0,0.4,0,0,0,0,46.2,1.3
Bottom trawl,Pollock,25.9,2.3,0.1,0,0,0.2,5.5,0.9,0,0,0,0,34.8,1
Bottom trawl,Atka mackerel,3.6,28.9,0,0,0,0,0,0,0,0,0,0,32.5,0.9
Longline,Other,1.8,0.4,0,0,0,0.3,1.2,7.9,0,0,0,0,11.5,0.3
Pot,Sablefish,0.8,4,0,0,0,5.9,0,0,0,0,0,0,10.7,0.3
Longline,Rockfish,0.6,1.5,0,0,0,1.4,0.6,2.3,0.5,0,0,0,7.1,0.2
Pot,Halibut,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jig,Halibut,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pot,Pacific cod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pot,Flatfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (t),NA,1882.6,650.3,1,9.1,1.9,192.2,614.6,196.7,26.4,0.4,0.2,0,3575.2,100
