Gear,Target fishery,541,542,543,Total (t),% of total
Bottom trawl,Atka mackerel,3181.8,715.5,223.8,4121.1,80.4
Bottom trawl,Rockfish,357.7,242.8,156.5,757.1,14.8
Longline,Pacific cod,52.3,54.5,22.7,129.5,2.5
Bottom trawl,Pacific cod,52.2,6.2,3.6,62,1.2
Bottom trawl,Other,30.8,0,0,30.8,0.6
Bottom trawl,Flatfish,20.3,0,0,20.3,0.4
Longline,Halibut,2.5,1.2,0.3,4.1,0.1
Longline,Sablefish,1.6,0.1,0,1.7,0
Pot,Pacific cod,0.2,1,0,1.2,0
Longline,Other,0,0.2,0.2,0.4,0
Longline,Flatfish,0,0.3,0,0.3,0
Pelagic trawl,Pollock,0.1,0,0,0.1,0
Pot,Sablefish,0,0,0,0,0
Pelagic trawl,Rockfish,0,0,0,0,0
Total (t),NA,3699.3,1022,407,5128.4,100
