year,EBS Shelf,AI,SBS,EBS Slope
1982,0 (NA),NA,NA,NA
1983,0 (NA),NA,NA,NA
1984,18 (1),NA,NA,NA
1985,36 (1),NA,NA,NA
1986,0 (NA),NA,NA,NA
1987,49 (1),NA,NA,NA
1988,0 (NA),NA,NA,NA
1989,0 (NA),NA,NA,NA
1990,0 (NA),NA,NA,NA
1991,842 (0.94),494 (0.38),61 (0.83),NA
1992,14 (1),NA,NA,NA
1993,86 (1),NA,NA,NA
1994,47 (1),213 (0.61),101 (0.49),NA
1995,74 (0.7),NA,NA,NA
1996,35 (1),NA,NA,NA
1997,127 (1),643 (0.68),138 (0.46),NA
1998,527 (0.68),NA,NA,NA
1999,390 (0.75),NA,NA,NA
2000,0 (NA),"1,276 (0.33)",55 (0.36),NA
2001,0 (NA),NA,NA,NA
2002,0 (NA),554 (0.31),99 (0.36),38 (0.42)
2003,54 (0.7),NA,NA,NA
2004,0 (NA),"1,231 (0.41)","5,528 (0.78)",31 (0.35)
2005,36 (1),NA,NA,NA
2006,351 (0.84),"6,003 (0.88)",738 (0.95),NA
2007,0 (NA),NA,NA,NA
2008,0 (NA),NA,NA,27 (0.45)
2009,120 (0.58),NA,NA,NA
2010,57 (0.92),588 (0.32),120 (0.44),147 (0.7)
2011,55 (1),NA,NA,NA
2012,36 (1),250 (0.3),135 (0.57),52 (0.49)
2013,39 (1),NA,NA,NA
2014,28 (1),"5,643 (0.81)",232 (0.5),NA
2015,142 (1),NA,NA,NA
2016,20 (1),"1,765 (0.33)",218 (0.54),30 (0.33)
2017,170 (0.73),NA,NA,NA
2018,"1,562 (0.7)",914 (0.32),"1,638 (0.77)",NA
2019,0 (NA),NA,NA,NA
2021,0 (NA),NA,NA,NA
2022,43 (1),"1,332 (0.53)",217 (0.39),NA
