year,AI,SBS,EBS Slope
1982,NA,NA,NA
1983,NA,NA,NA
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,"6,153 (0.24)",187 (0.58),NA
1992,NA,NA,NA
1993,NA,NA,NA
1994,"6,244 (0.16)","1,071 (0.52)",NA
1995,NA,NA,NA
1996,NA,NA,NA
1997,"8,894 (0.18)","1,545 (0.69)",NA
1998,NA,NA,NA
1999,NA,NA,NA
2000,"10,648 (0.19)","1,051 (0.48)",NA
2001,NA,NA,NA
2002,"14,244 (0.2)","1,012 (0.41)","16,940 (0.12)"
2003,NA,NA,NA
2004,"17,335 (0.19)",945 (0.56),"18,793 (0.09)"
2005,NA,NA,NA
2006,"17,878 (0.12)",968 (0.55),NA
2007,NA,NA,NA
2008,NA,NA,"26,055 (0.12)"
2009,NA,NA,NA
2010,"18,075 (0.16)","1,052 (0.73)","29,334 (0.12)"
2011,NA,NA,NA
2012,"14,443 (0.15)",452 (0.77),"29,565 (0.11)"
2013,NA,NA,NA
2014,"17,611 (0.24)","2,567 (0.67)",NA
2015,NA,NA,NA
2016,"16,541 (0.16)","1,607 (0.53)","35,948 (0.11)"
2017,NA,NA,NA
2018,"13,216 (0.2)","1,605 (0.68)",NA
2019,NA,NA,NA
2020,NA,NA,NA
2021,NA,NA,NA
2022,"12,867 (0.16)","1,278 (0.75)",NA
