species_group,year,Model 20,Model 22
SST,1991,24899.752610581807,18612.77451531449
SST,1992,25060.36524871046,18777.97384098118
SST,1993,25225.640729972383,18951.462999558804
SST,1994,25395.77095971572,19133.98643227212
SST,1995,26002.519767877122,19814.18778479078
SST,1996,26657.75360296533,20557.32040848273
SST,1997,27365.396107188317,21369.248853392
SST,1998,28092.518697912892,19864.57741277588
SST,1999,28876.632701826515,18843.442017798174
SST,2000,29722.268749957144,21871.992034563867
SST,2001,30853.240035880885,25954.317007046033
SST,2002,32096.319413398334,30489.124580989046
SST,2003,33930.390385067425,32808.56761632828
SST,2004,35882.65052905184,35820.996360156394
SST,2005,37979.668493528574,37335.55922107304
SST,2006,40210.98828533939,39240.03190086036
SST,2007,41842.42922481922,40547.26754456918
SST,2008,43598.14803326675,43390.980230791465
SST,2009,45003.27872447231,44503.40658062143
SST,2010,46488.63145054258,47806.41352888753
SST,2011,46563.54481909541,50988.50712710221
SST,2012,46680.14349285012,48142.83639803474
SST,2013,48030.111710632846,52012.36742080168
SST,2014,49427.3647636756,55316.136086861865
SST,2015,50472.19170930502,58159.11220240304
SST,2016,51566.515578073464,54976.73807025621
SST,2017,50896.93737827099,55164.687131906285
SST,2018,50256.93822143498,53547.36060593926
SST,2019,50003.88077705492,52556.11873318567
SST,2020,49755.28533015829,51943.45693895963
SST,2021,49511.07295080674,51338.6434850002
SST,2022,49271.16610545453,51098.265841378336
SST,2023,49271.16610545453,51098.265841378336
non-SST,1982,602.8153130784882,602.8153130784882
non-SST,1983,602.8153130784882,602.8153130784882
non-SST,1984,602.8153130784882,602.8153130784882
non-SST,1985,610.5908247421617,610.5908247421617
non-SST,1986,618.9512121280497,618.9512121280497
non-SST,1987,629.3561523776652,629.3561523776652
non-SST,1988,645.903263923446,645.903263923446
non-SST,1989,667.6212446661889,667.6212446661889
non-SST,1990,696.1259589927466,696.1259589927466
non-SST,1991,733.5382188369389,733.5382188369389
non-SST,1992,576.975367686962,576.975367686962
non-SST,1993,530.964968187445,530.964968187445
non-SST,1994,485.5012402661985,485.5012402661985
non-SST,1995,584.30889893069,584.30889893069
non-SST,1996,706.245399900014,706.245399900014
non-SST,1997,919.2655847850982,919.2655847850982
non-SST,1998,1178.8186045605873,1178.8186045605873
non-SST,1999,1325.8807063017146,1325.8807063017146
non-SST,2000,1439.535746826662,1439.535746826662
non-SST,2001,1117.4905758073958,1117.4905758073958
non-SST,2002,894.9243548185498,894.9243548185498
non-SST,2003,1374.4405887363132,1374.4405887363132
non-SST,2004,2536.688736510684,2536.688736510684
non-SST,2005,2737.3325366292056,2737.3325366292056
non-SST,2006,3286.4302055539147,3286.4302055539147
non-SST,2007,2329.7414339517813,2329.7414339517813
non-SST,2008,1659.4788928403943,1659.4788928403943
non-SST,2009,1207.8367577217482,1207.8367577217482
non-SST,2010,887.1141735468265,887.1141735468265
non-SST,2011,702.5350296366031,702.5350296366031
non-SST,2012,567.5083608284161,567.5083608284161
non-SST,2013,1050.3444083455352,1050.3444083455352
non-SST,2014,2207.8934374916394,2207.8934374916394
non-SST,2015,2141.943621839507,2141.943621839507
non-SST,2016,2060.738076994668,2060.738076994668
non-SST,2017,1943.8565220475532,1943.8565220475532
non-SST,2018,2204.884617971082,2204.884617971082
non-SST,2019,1934.1765771582407,1934.1765771582407
non-SST,2020,1767.183649029496,1767.183649029496
non-SST,2021,1674.2979405972035,1674.2979405972035
non-SST,2022,1635.2224952782954,1635.2224952782954
non-SST,2023,1635.2224952782954,1635.2224952782954
Total,1982,602.8153130784882,602.8153130784882
Total,1983,602.8153130784882,602.8153130784882
Total,1984,602.8153130784882,602.8153130784882
Total,1985,610.5908247421617,610.5908247421617
Total,1986,618.9512121280497,618.9512121280497
Total,1987,629.3561523776652,629.3561523776652
Total,1988,645.903263923446,645.903263923446
Total,1989,667.6212446661889,667.6212446661889
Total,1990,696.1259589927466,696.1259589927466
Total,1991,25633.290829418747,19346.31273415143
Total,1992,25637.34061639742,19354.949208668142
Total,1993,25756.605698159827,19482.427967746247
Total,1994,25881.27219998192,19619.48767253832
Total,1995,26586.82866680781,20398.49668372147
Total,1996,27363.999002865345,21263.565808382744
Total,1997,28284.661691973415,22288.5144381771
Total,1998,29271.33730247348,21043.39601733647
Total,1999,30202.51340812823,20169.32272409989
Total,2000,31161.804496783807,23311.52778139053
Total,2001,31970.73061168828,27071.807582853427
Total,2002,32991.24376821688,31384.048935807597
Total,2003,35304.830973803735,34183.00820506459
Total,2004,38419.33926556252,38357.685096667075
Total,2005,40717.00103015778,40072.891757702244
Total,2006,43497.4184908933,42526.46210641428
Total,2007,44172.170658771,42877.00897852096
Total,2008,45257.62692610714,45050.45912363186
Total,2009,46211.11548219406,45711.24333834318
Total,2010,47375.74562408941,48693.52770243436
Total,2011,47266.07984873201,51691.04215673881
Total,2012,47247.65185367854,48710.34475886316
Total,2013,49080.45611897838,53062.711829147214
Total,2014,51635.25820116724,57524.02952435351
Total,2015,52614.13533114453,60301.05582424255
Total,2016,53627.25365506813,57037.476147250876
Total,2017,52840.79390031854,57108.543653953835
Total,2018,52461.822839406064,55752.245223910344
Total,2019,51938.05735421316,54490.295310343914
Total,2020,51522.46897918778,53710.640587989124
Total,2021,51185.37089140394,53012.9414255974
Total,2022,50906.388600732826,52733.48833665663
Total,2023,50906.388600732826,52733.48833665663
